場名,場コード,開催日,レース,枠,登録番号,級別,氏名,F数,L数,平均ST,全国勝率,全国2連率,全国3連率,当地勝率,当地2連率,当地3連率,モーターNo,モーター2連率,モーター3連率,ボートNo,ボート2連率,ボート3連率,1日目成績,2日目成績,3日目成績,4日目成績,5日目成績,6日目成績,支部,出身,年齢,締切時刻,節名,企画名,日目
桐生,01,20260830,1R,1,4939,A1,宮之原　輝紀,0,0,0.14,7.49,60.91,69.09,6.67,50.00,66.67,49,34.41,48.39,30,33.15,50.83,1R/1/.18/1 10R/5/.09/4,4R/3/.18/5,5R/2/.09/1,1R/6/.13/3 9R/4/.08/6,11R/6/.15/5,,東京,東京,28,14:57,第７２回ボートレースメモリアル,一般,最終日
桐生,01,20260830,1R,2,4848,A1,仲谷　　颯仁,0,0,0.15,7.61,52.21,73.45,5.93,42.86,50.00,24,37.17,62.30,69,35.12,48.81,2R/1/.13/1 11R/5/.13/3,6R/5/.01/6,5R/3/.10/2,1R/2/.14/4 10R/6/.17/6,4R/6/.07/6,,福岡,福岡,32,14:57,第７２回ボートレースメモリアル,一般,最終日
桐生,01,20260830,1R,3,4361,A1,柳生　　泰二,0,0,0.14,7.51,59.02,73.77,7.80,80.00,90.00,56,42.57,54.73,66,34.91,47.93,2R/5/.10/6 8R/2/.14/1,11R/4/.14/3,3R/5/.08/6,1R/1/.26/6 7R/3/.11/5,5R/5/.11/1,,山口,山口,41,14:57,第７２回ボートレースメモリアル,一般,最終日
桐生,01,20260830,1R,4,4444,A1,桐生　　順平,0,0,0.13,7.27,41.41,61.62,8.17,83.33,83.33,53,35.47,52.33,51,34.91,55.62,4R/6/.08/2 9R/3/.18/3,9R/3/.13/5,11R/2/.13/6,2R/5/.08/4 11R/1/.12/1,3R/5/.15/2,,埼玉,福島,39,14:57,第７２回ボートレースメモリアル,一般,最終日
桐生,01,20260830,1R,5,3590,A1,濱野谷　憲吾,0,0,0.14,7.03,48.28,65.52,7.30,60.00,80.00,60,44.38,58.13,57,41.21,54.55,8R/1/.11/2,3R/2/.10/2 10R/6/.09/6,12R/4/.03/6,7R/5/.15/6,4R/2/.09/2 8R/3/.10/4,,東京,東京,52,14:57,第７２回ボートレースメモリアル,一般,最終日
桐生,01,20260830,1R,6,4166,A1,吉田　　拡郎,0,0,0.12,7.78,59.52,76.19,7.00,33.33,66.67,25,27.69,39.23,37,33.71,50.86,5R/6/.10/5 10R/2/.09/3,10R/5/.11/2,9R/1/.08/1,3R/4/.12/5 8R/3/.11/5,5R/3/.16/6,,岡山,岡山,44,14:57,第７２回ボートレースメモリアル,一般,最終日
桐生,01,20260830,2R,1,4682,A1,大上　　卓人,0,0,0.14,7.22,49.17,66.67,6.25,33.33,58.33,47,29.28,44.75,38,35.93,59.88,4R/1/.06/1,1R/3/.14/2 11R/5/.16/5,5R/4/.08/3,5R/6/.15/5,10R/6/.18/4,,広島,広島,35,15:25,第７２回ボートレースメモリアル,一般,最終日
桐生,01,20260830,2R,2,3716,A1,石渡　　鉄兵,0,0,0.12,6.84,44.04,62.39,6.52,43.48,60.87,75,28.22,43.56,35,37.14,55.43,4R/3/.18/3,12R/4/.11/2,4R/2/.10/3 8R/5/.18/5,4R/4/.10/4,6R/1/.08/1 12R/6/.17/5,,東京,千葉,51,15:25,第７２回ボートレースメモリアル,一般,最終日
桐生,01,20260830,2R,3,4851,A1,関　　　浩哉,0,0,0.13,7.43,44.23,63.46,7.80,61.98,80.99,67,35.63,58.13,29,31.79,47.40,4R/4/.05/4 10R/3/.12/1,,2R/2/.03/1 10R/1/.11/2,6R/6/.09/6,5R/4/.08/4,,群馬,群馬,31,15:25,第７２回ボートレースメモリアル,一般,最終日
桐生,01,20260830,2R,4,3415,A1,松井　　　繁,0,0,0.14,7.16,46.15,63.08,6.76,40.54,64.86,62,42.31,60.44,40,30.95,46.43,7R/4/.01/5,6R/1/.11/1,5R/6/.09/5 10R/2/.17/5,3R/5/.12/4,3R/3/.12/1 7R/3/.22/6,,大阪,大阪,56,15:25,第７２回ボートレースメモリアル,一般,最終日
