日付,場コード,レース,判定,主役艇,スコア,着順,配当,波乱正誤,主役正誤
20250715,01,1R,波乱,4,-0.219,1-5-3,12690,○,×
20250715,01,2R,波乱,4,-0.291,1-3-4,1670,×,○
20250715,01,3R,波乱,4,-0.244,3-2-5,9050,○,×
20250715,01,4R,混戦,1,-0.004,1-3-5,12100,-,◎
20250715,01,5R,堅め,1,0.352,1-3-5,2070,○,◎
20250715,01,6R,堅め,1,0.265,1-2-4,1420,○,◎
20250715,01,7R,堅め,1,0.182,3-5-2,6890,×,×
20250715,01,8R,堅め,1,0.099,4-6-1,29400,×,○
20250715,01,9R,波乱,4,-0.153,2-5-4,4160,×,○
20250715,01,10R,堅め,1,0.26,1-5-6,2820,○,◎
20250715,01,11R,混戦,1,0.014,1-4-2,720,-,◎
20250715,01,12R,混戦,1,0.004,1-5-3,4970,-,◎
20250715,02,1R,波乱,4,-0.052,6-5-3,10500,○,×
20250715,02,2R,混戦,1,0.07,5-4-2,37370,-,×
20250715,02,3R,波乱,4,-0.11,6-4-5,5080,○,○
20250715,02,4R,波乱,4,-0.095,2-6-3,2480,×,×
20250715,02,5R,波乱,4,-0.031,4-5-1,3980,×,◎
20250715,02,6R,波乱,4,-0.107,2-1-3,3880,×,×
20250715,02,7R,堅め,1,0.1,1-3-6,2170,○,◎
20250715,02,8R,波乱,4,-0.051,1-2-5,9570,○,×
20250715,02,9R,混戦,1,0.071,1-2-4,1400,-,◎
20250715,02,10R,堅め,1,0.118,1-3-5,1390,○,◎
20250715,02,11R,堅め,1,0.216,1-4-2,2910,○,◎
20250715,02,12R,混戦,1,0.073,1-5-3,5530,-,◎
20250715,04,1R,混戦,1,-0.006,2-1-5,2220,-,○
20250715,04,2R,波乱,4,-0.07,1-4-3,990,×,○
20250715,04,3R,波乱,4,-0.213,5-2-1,24960,○,×
20250715,04,4R,波乱,4,-0.244,3-1-4,22000,○,○
20250715,04,5R,堅め,1,0.144,1-2-4,920,○,◎
20250715,04,6R,混戦,1,-0.062,3-2-4,8480,-,×
20250715,04,7R,混戦,1,0.105,2-4-3,4790,-,×
20250715,04,8R,混戦,1,0.058,6-3-2,6320,-,×
20250715,04,9R,混戦,1,0.023,1-5-6,10090,-,◎
20250715,04,10R,波乱,4,-0.14,3-2-1,5410,○,×
20250715,04,11R,堅め,1,0.186,1-2-4,2070,○,◎
20250715,04,12R,混戦,1,0.1,1-4-2,1240,-,◎
20250715,08,1R,堅め,1,0.283,1-2-4,950,○,◎
20250715,08,2R,堅め,1,0.057,1-3-4,470,○,◎
20250715,08,3R,波乱,4,-0.053,3-1-2,3770,×,×
20250715,08,4R,混戦,1,0.032,2-3-5,2920,-,×
20250715,08,5R,波乱,4,-0.115,5-1-4,52960,○,○
20250715,08,6R,堅め,1,0.301,1-2-3,610,○,◎
20250715,08,7R,波乱,4,-0.065,1-2-3,1400,×,×
20250715,08,8R,波乱,4,-0.104,2-4-3,14030,○,○
20250715,08,9R,波乱,4,-0.261,1-2-4,930,×,○
20250715,08,10R,波乱,4,-0.1,1-4-6,2420,×,○
20250715,08,11R,堅め,1,0.271,1-4-2,2260,○,◎
20250715,08,12R,波乱,4,-0.03,3-1-4,3320,×,○
20250715,09,1R,堅め,1,0.255,1-2-6,1060,○,◎
20250715,09,2R,混戦,1,0.005,1-2-4,3150,-,◎
20250715,09,3R,波乱,4,-0.2,2-1-4,6470,○,○
20250715,09,4R,波乱,4,-0.371,4-3-5,2020,×,◎
20250715,09,5R,堅め,1,0.232,1-3-4,510,○,◎
20250715,09,6R,堅め,1,0.061,1-5-4,1320,○,◎
20250715,09,7R,波乱,4,-0.232,4-5-1,1560,×,◎
20250715,09,8R,堅め,1,0.201,3-1-5,3250,○,○
